GeneSymbol	Endothelial	CAFs	PVL	B_cells	T_cells	Myeloid	Normal_Epithelial	Cancer_Epithelial
ATF5	1	1	1	138.492897830243	1	353.665749406358	208.458802121677	229.429690632857
ATF6	1	1	1	1	1	133.438422391428	1	1
ATF7IP	1	1	1	1	322.742902471772	1	1	1
ATIC	1	1	1	1	1	1	1	300.11663414478
ATL3	147.359003518643	1	1	1	1	1	1	1
ATM	1	122.751026516026	1	177.588982565037	384.84719335899	115.709200592634	1	1
ATN1	1	1	1	1	1	1	142.352396503599	1
ATP13A3	1	1	1	1	1	185.533718163911	1	1
ATP1B1	1	1	1	1	1	155.910405114238	638.915407817307	755.212343616717
ATP1B2	1	1	185.79579490152	1	1	1	1	1
ATP2B1	226.645830620088	1	155.240182399298	312.085235658787	418.86167033818	420.439933009144	236.462782955982	1
ATP2B4	181.912564133591	1	234.304225789039	1	319.486159581558	1	1	1
ATP6V0E2	1	1	1	1	214.088225558319	1	1	216.540864879789
ATP6V1A	1	1	1	1	1	147.370270173531	1	1
ATP6V1B2	1	193.566034466037	1	1	1	461.103067185262	1	1
ATP8B1	152.094906287192	1	1	1	1	1	1	1
ATXN1	1	109.124593555781	1	1	1	1	1	1
ATXN7L3B	1	1	1	1	1	1	140.61269744885	1
AVPI1	1	1	1	1	1	113.026227618675	1	1
AVPR1A	1	1	262.575751090157	1	1	1	1	1
AXL	1	230.987542866571	402.006920254585	1	1	123.885764956475	1	1
AZGP1	1	1	1	1	1	1	4152.59154753904	2019.32324978472
B3GNT2	167.491396910185	1	505.767713135493	1	296.615080665217	1	161.869580296708	1
B3GNT5	1	1	1	1	1	147.897132921663	1	1
B4GALT3	1	1	1	108.60529747758	1	1	160.063755373621	268.330220194659
B4GALT7	1	1	1	85.5281633257023	1	1	1	1
BABAM1	1	1	171.566331595014	1	1	1	1	181.442276071827
BACE2	353.011347275256	1	1	1	1	1	160.723458752219	239.585936201149
BACH1	1	1	1	1	1	179.44347666669	1	1
BAG5	1	1	1	1	1	1	158.055207293289	1
BAIAP2	1	1	1	1	1	1	201.004918650802	1
BAMBI	1	1	1	1	1	1	426.271500767875	1
BANK1	1	1	1	512.521391645455	1	1	1	1
