"Endothelial","CAFs","PVL","B_cells","T_cells","Myeloid","Normal_Epithelial","Cancer_Epithelial"
"RP11-465B22.8",0,0.293583318285671,0,0.0566554659329345,0.131136145003679,0.104900371175625,0.585069520446645,1.14415317348243
"TTLL10",3.14298138116079,0.53740701617698,0,0,1.70133654486119,0.202687577345746,0.585069520446645,0.286916325493479
"TNFRSF18",3.10891458397205,1.23516631153727,1.11947785320674,3.74589089766307,8.27214567126507,2.40570568718911,3.17021036973713,4.12946693660848
"TNFRSF4",7.8142854987349,5.08531407134659,2.44789554820065,3.19701286553676,8.34234800608198,4.37048877208087,1.3221207246777,1.94874538046268
"SDF4",7.80234424904172,7.8402321733363,7.27040716007924,6.57413294833207,7.32483356382047,7.08026578797183,7.12444004611772,6.97070209101703
"B3GALT6",3.24060576280949,2.97879319398717,1.93147118075483,1.00093490869199,2.46878152077545,2.94717817031699,2.80763009959952,2.21116513048509
"FAM132A",3.78460195212906,1.70345869542407,0.303969663325054,0.111169855615069,0.530131152380717,0.380375366956368,3.85827989241416,0.992865476729338
"RP5-902P8.12",0,0.154246704479732,0.768595053659232,0.214382771717558,0.498089339297804,0.104900371175625,0,0.286916325493479
"UBE2J2",5.96894536652498,5.52075162073672,5.74244307591426,4.59394976580801,5.89070237818405,5.23184552792548,6.01154331403907,6.37818404723516
"SCNN1D",1.16147803036105,0.839865140064008,0.768595053659232,0.263346109385775,0.736466940664406,0.810814246286863,1.58517653223396,1.28107110868942
"ACAP3",3.8060228973404,4.14570839681575,4.12247106647021,2.99440295004836,3.38572702938158,3.05584670691324,3.08774611145486,3.68724060999916
"PUSL1",3.00160415522413,3.87319197176536,3.61562334712046,3.03726529860568,4.10768164462965,3.86548554361104,4.1702282033815,5.509569932305
"CPSF3L",5.96418950131845,5.81195793448729,6.00203542476379,4.33520028387107,6.02465877146412,5.13917212746608,6.47605085958739,6.35510319409441
"CPTP",5.1467394821936,3.79325145847103,4.1029124403619,4.07557851449785,4.08089123559687,3.38232351933882,4.64416438509483,5.59414231114768
"TAS1R3",0,0,0,2.39107949079616,0.212373883037879,0.104900371175625,0,1.40611381868667
"DVL1",3.76285815182512,3.74550027569443,2.77892683790719,1.60532593051056,1.98179064852415,2.44619989906544,3.17021036973713,3.6113514837796
"MXRA8",2.29770159353762,9.86355877968611,7.55401862661334,1.2879845821149,1.38827157176205,0.929822400119204,7.37535853297592,3.00736630651151
"AURKAIP1",7.66255412948879,7.24345104349381,7.65148055959574,6.87665026088873,7.58193188252655,7.47521142560958,7.76187078854578,8.85266173107537
"CCNL2",6.32108387367239,5.71611470102482,5.92058648703368,4.04089397596252,5.73788726453653,4.80737572371079,5.76849947022624,5.53032402894277
"RP4-758J18.13",1.02199177786661,0.645426846363549,0.303969663325054,0.16369912086856,0.172326747665931,0.380375366956368,1.00016052661134,0.526128417830285
"ANKRD65",4.95870546643294,4.99120118501022,2.31820778535733,0.263346109385775,0.397459134812248,1.80275737326572,5.44325715189074,3.41701654402301
"RP4-758J18.7",0.270402309360124,0.420639998229429,0,0,0,0.104900371175625,1.00016052661134,0
"RP4-758J18.10",2.75958954004116,0.154246704479732,0.554906375751487,0,0.0450495376853673,0.104900371175625,2.90716883038387,1.72696735317691
"VWA1",8.10526861265526,3.88425885702656,3.66980147895997,0.444101678604105,0.592155777552063,1.09173492005868,5.12959488086045,3.85018079844233
"ATAD3C",3.27173242205491,2.20504615275622,0.768595053659232,2.95022807001633,1.7700314680907,1.03975725797146,4.04469570006635,2.1409294910988
"ATAD3B",3.86844105702134,3.25940365926757,2.87430309426028,1.94248898210805,3.82407749111253,3.15690021373374,4.04469570006635,5.16931292588971
"ATAD3A",3.94767445919524,3.40482606010672,3.74743491154466,2.35764813196216,3.24319188000867,3.31831605077066,3.45972347191921,5.22977778966362
"TMEM240",0.498034576090598,1.36724000903095,0.554906375751487,0,0.0450495376853673,0.104900371175625,1.00016052661134,0
"SSU72",7.12015039729317,6.97500514809375,6.98540528149001,5.69225013346831,7.44551530331335,6.93132016351365,7.59277640941962,8.41990191677066
"RP5-832C2.5",2.75958954004116,2.54896362294733,1.74216426057711,1.58620891105932,3.51943365526825,2.68487455814442,2.80763009959952,1.94874538046268
"C1orf233",0.270402309360124,2.8264735928022,0.554906375751487,0.0566554659329345,0.867646419473026,2.08510686520878,1.3221207246777,2.06709875685165
"RP11-345P4.9",3.07402386234297,3.5508807558242,2.82740298555122,1.1385233941068,2.71863001216501,2.20794464484514,3.95449663594672,3.15721690867855
