GeneSymbol	T_cell	Endothelial_cell	B_cell	Fibroblast	Cancer_cell	Myeloid_cell	Mast_cell	pDC
ANGPTL4	1	214.087418677685	1	386.482446949597	1	171.48857277486	1	1
ANK2	1	1	1	135.007105842319	1	1	1	1
ANK3	1	1	1	1	98.3141596811761	1	1	1
ANKRD13A	1	1	266.637958496162	1	1	66.2976409808104	1	90.0615815259082
ANKRD13D	169.108360397044	1	1	1	72.1156529492981	72.4095604797582	1	107.363360977448
ANKRD22	1	1	1	1	1	116.04779142231	1	1
ANKRD28	1	142.141349384875	1	124.605681048861	103.362148994482	131.455124104559	695.785169387915	1
ANKRD29	1	157.21691521152	1	1	1	1	1	1
ANKRD30A	1	1	1	1	838.612588846979	1	1	1
ANKRD35	1	1	1	103.653762705939	1	1	1	1
ANKRD37	1	1	238.094729036851	1	100.770836368787	90.4642867170895	1	68.1613460092216
ANKRD44	498.639797321364	1	562.14076084364	1	1	130.008186765126	291.619220159692	257.585038099123
ANKRD49	1	1	1	1	74.1470324141881	1	224.227242266939	1
ANKRD53	1	1	1	1	1	1	1	78.6934419560035
ANO1	1	1	1	81.5068124432871	1	1	1	1
ANPEP	1	1	1	173.223415139475	1	316.574456011025	1	1
ANTXR1	1	1	1	368.421860746841	1	1	1	1
ANTXR2	1	1	1	150.377792751651	1	68.8099337304125	251.438255377778	228.632138758086
ANXA1	1260.84897070243	694.082300223837	1	713.149278148432	472.788233706346	1292.04691774158	4636.77362822997	1
ANXA2R	195.073112297105	1	1	1	1	1	1	1
ANXA3	1	1	1	1	196.311112792762	1	1	1
ANXA4	1	177.006308664228	1	182.323004318686	264.150752005102	197.564426780013	667.283335061504	82.5839229645166
AOAH	301.94825420914	1	1	1	1	179.543024995584	1	1
AOC3	1	214.105906151761	1	1	1	1	1	1
AOX1	1	1	1	96.4103326422527	1	1	1	1
AP001453.2	1	1	1	1	1	1	1	137.892625862776
AP002387.2	1	1	1	1	92.4378881475596	1	1	1
AP1M2	1	1	1	1	168.488912120287	1	1	1
AP3M1	1	1	1	1	58.9070552530253	1	1	140.58226987321
AP5M1	1	1	1	1	1	1	1	117.312180730172
APBB1IP	650.437833091441	1	453.601829872872	1	1	278.274395779753	1	595.622983690779
APCDD1	1	120.521951101764	1	1	1	1	1	1
APH1B	1	1	1	1	1	84.6216123341921	1	1
APLNR	1	579.423535925871	1	1	1	1	1	1
APOBEC3C	403.549076280818	1	233.590874478692	1	1	60.3808050309975	165.382710652461	73.3283329249902
APOBEC3G	841.635131363848	1	288.284935759118	1	1	78.9903702249145	1	122.052235479047
APOBR	1	1	1	1	1	79.5292468409073	1	1
APOC1	1	1	1	199.595396519127	1	4164.99012561355	829.649176387284	1
APOD	1	722.599642339106	1	10555.4400465253	1	1	1	1
APOE	1	289.656305015419	1	4301.13182733651	259.804688913581	7902.27881984298	276.508850504338	1
APOL1	1	214.01715633685	1	127.923966474072	1	1	1	1
APOL3	164.61763716422	166.484547372731	1	1	1	94.7565663951652	1	1
APOLD1	1	714.174223782617	1	1	1	1	1	1
