"B_cell","Cancer_cell","Endothelial_cell","Fibroblast","Mast_cell","Myeloid_cell","pDC","T_cell"
"IGHV1-18",6.82056569127277,-0.633680307035102,-1.25001490349216,-0.67739859504507,-1.35961469227407,-0.93975679899463,-1.60510991794444,-0.354990476487295
"CCL4",-0.45649665837576,-1.97499803688718,-1.30367670596023,-2.40934883462465,-2.47074742742,4.06031941859099,-1.24629482966388,5.80124307434071
"MZB1",5.46712682563586,-1.07225792870302,-2.13183368722046,-2.81952236853586,-2.44447227292113,-2.73674426549604,5.8274335145318,-0.0897298172911487
"COL1A1",-0.641753016657833,-0.553701205219213,0.0906956477803798,7.9905472851192,-2.7702958772161,-0.511783726681912,-3.14575504986707,-0.457954057257444
"ADIRF",-2.99458182137894,3.87549460611943,3.9535573434942,4.46719022177162,-3.34347801969572,-0.753209051726911,-3.49394605752505,-1.71102722105864
"PLVAP",-2.01089032284327,-2.08139493123993,7.50037951660717,-1.78747391421389,-2.60072741045525,-1.41194714357622,4.13358215526336,-1.74152794954197
"SCGB2A2",-0.676528426101602,5.22769712920103,-1.05343833295851,-0.0465007417504794,0.311397746723653,-0.424947543859713,-2.90268439653445,-0.434995434719933
"CYR61",-2.94693629522641,2.74578787268773,4.56150921986358,5.94000907478543,-3.33720737080308,-2.36431478080955,-3.33720737080308,-1.26164034969462
"IGFBP5",-2.12799035533374,2.45762509667476,3.82657363454389,5.54902110381484,-3.44859370287146,-1.53643256951937,-3.21506892645946,-1.50513428084948
"TPSAB1",-2.20966905583573,0.250893375574691,-1.71428939306519,-2.23878192637519,10.5867240090904,-0.597725222770352,-2.36984781312171,-1.70730397349691
"CXCL12",-3.03261066124023,-0.731856383377179,4.96772335049157,5.66340159986299,-3.48189827479311,1.61506270579547,-2.91901899492958,-2.08080334180993
"PLD4",1.84220969830448,-2.3910559852418,-2.28845720611124,-2.45773711430467,-2.68942924469074,3.19882553444856,7.13133649071656,-2.34569217312115
"COL1A2",-1.29823426063987,-0.916534499563522,0.579812866324275,7.72695828573242,-2.55999726636498,-0.48996010908896,-2.55015599533683,-0.491889021062534
"TPSB2",-2.12584424185514,0.772148079102041,-2.10608026504371,-1.95037590613486,9.93924764412855,-0.233256979436418,-2.42210817645877,-1.8737301543017
"IGLV2-14",5.53922703594729,-0.796566802671868,-0.88823413318675,-0.405671426802644,-1.5325954038366,-0.733232951684869,-2.38874697828567,1.20582066052111
"DCN",-1.42793289267637,0.473696598904731,-0.145858726889684,8.02548960485982,-3.31336078275542,-0.634797731128458,-2.81928172385674,-0.157954346457877
"COL3A1",-1.85743192640976,-0.815534857911323,0.785441546393628,7.73109905038799,-2.63398314492343,-0.297230262422022,-2.20938712816598,-0.702973276949101
"CALD1",-2.43756566435277,2.35482195076035,3.58157169703035,6.0009971553851,-3.98679757791272,-0.807022424210233,-3.20929710040178,-1.49670803629829
"PLAC8",2.39634514943018,-2.68840599624564,-2.88374388204929,-3.25926370483825,-3.85699894647361,2.18603660118176,6.26579560850861,1.84023517048624
"CCL5",0.200748801135585,0.187339032665843,-0.133470238688252,-0.0888453522640202,-3.57312012569017,1.20235121897896,-4.22954125045452,6.43453791431658
"IGFBP4",-2.86876523946184,1.90474142729012,4.55867555898119,5.22642730897832,-4.71001995521183,-0.301895683993652,-3.04760750321556,-0.761555913366751
"PRSS23",-3.07402720913814,2.49050005068714,4.71458096929473,5.06672159160683,-3.25548657259965,-1.7482116652664,-4.00859067223072,-0.185486492353782
"VCAN",-2.29668022122123,-1.6681736602049,3.12219174450603,5.7533112647082,-3.09048861236784,3.50427664512663,-3.55086696311018,-1.77357019743671
"SPP1",-1.97829829920521,-0.302604681914702,2.04074954594496,-1.6307819409836,-2.01547343323493,6.96996608782054,-2.36869287415513,-0.714864404271935
"MPEG1",1.83960538845994,-2.56122137102232,-1.90948565641174,-2.63331561004908,-2.80046164791483,4.32485435274092,6.2404157667841,-2.50039122258698
"TM4SF1",-1.98087535403431,4.49417305548824,6.27596139466919,1.234648265496,-3.49556022079152,-1.41146810162329,-3.49556022079152,-1.62131881841279
"IGLV3-25",4.7628618453763,-0.837084584840732,0.362431228977909,-0.794587864512675,-1.71456231537494,-0.899363106240948,-0.744126203884651,-0.13556899950026
"CFD",-2.60231070847743,1.04184910426965,-1.47389997023847,5.23810282677005,-3.27052739047777,4.05248745082684,-2.16318965508564,-0.822511657587235
"CD36",-3.68226719207258,-2.2619347182388,5.03888933021815,2.42182976165017,-3.38858022552854,2.78317466603944,1.82071053729607,-2.73182215936392
"IGHV5-51",6.31601583578828,-0.777147575043597,-0.494386127723923,-0.909342110321162,-1.1070622802582,-1.16176623196782,-1.67959674453049,-0.186714765943086
"S100A8",-1.65529120386983,2.24737575084257,-0.996795895947287,-1.16586608540694,-2.78008823259159,7.16873387555267,-1.86122105778708,-0.956847150792513
"TIMP3",-3.4932210550509,0.955067232752695,3.77497175756849,4.93396854072948,2.38647603643161,-1.41900105537639,-4.54595467410847,-2.59230678294653
"COL15A1",-1.52659769849764,-1.40614512054319,6.64809127697029,4.70773168106396,-2.79776797754776,-1.2486747542181,-2.79776797754776,-1.57886942967981
"VWF",-1.39922684664215,-1.12085252910475,8.68658852318262,-0.915051149775453,-2.0984109218924,-0.737728385182257,-2.0984109218924,-0.316907768693212
"MS4A6A",-1.09734930968598,-2.36842175692329,-1.12025216808557,-1.83186518203616,-3.76581702360294,5.87984282027657,5.28639692563029,-0.982534305572913
"LYZ",-1.1820876721352,-1.40636390136558,-0.99695242386452,-0.855133717795532,-2.26979895311326,8.00875525073178,-1.0824621810699,-0.215956401387787
"APOE",-2.80405923069701,0.776873064289275,-0.290769922351656,3.57817987638459,-2.04655112624498,5.63875564961028,-3.39660275423968,-1.45582555675083
