"B_cell","Cancer_cell","Endothelial_cell","Fibroblast","Mast_cell","Myeloid_cell","pDC","T_cell"
"AASS",0.799713173198891,1.32773483100227,3.1522207982118,3.73906465489301,1.85089909069684,0.223622961855949,0,1.18731903087434
"AATF",4.9168067884316,5.22663670060721,5.0207471380278,5.00510716267478,4.26684232654599,5.42455535858216,5.89896163291776,6.01248527017509
"ABALON",0.799713173198891,0.732538381266163,0.831295189667193,0.94594924813325,0,0.521977087630896,0.995973769789018,0.769528535845673
"ABAT",2.23381906300419,3.43599224419633,1.29933479614775,1.96644615589193,0,1.84076444922191,0,3.40622497004647
"ABCA1",2.70105028873776,4.04721362438599,5.18427716526999,5.8815415553307,6.78796086943816,6.90172014733436,3.69299787944349,1.58689752212491
"ABCA10",0.39776620319845,0.70734500508785,0.750067704442417,5.61306302150058,0,0.41719025688753,0.995973769789018,0.234106595532268
"ABCA2",1.90741977172069,3.59725731958726,4.29317607762185,3.78557566135362,1.85089909069684,2.01843902665091,5.07963692601159,4.43675405460232
"ABCA3",1.1137295545358,3.69661781759911,3.46378668087852,1.33248365612421,1.85089909069684,1.16394965802831,0,1.72784999582671
"ABCA5",3.21009693268143,4.34240624861796,3.62053821701271,3.65608845713762,2.63563794758514,2.41296699592302,2.31548072207228,3.49061569604562
"ABCA6",0.709231394234388,0.769522276066039,2.89318289579212,6.65240075995086,0,2.52647108795835,3.69299787944349,0.338301435685202
"ABCA7",2.89823753054162,2.74001803353955,2.57722887430982,1.03922998198177,4.26684232654599,3.22490113905859,4.99218894676718,4.32706106461393
"ABCA8",0.276966217277831,0.193856743492214,2.6684740368001,6.16584524050948,0,0.342849979834902,0,0.206838089432389
"ABCA9",0.39776620319845,0.332130797632649,0.369863714587265,5.40624538692973,0,0.769078754984994,1.99395643322287,0.206838089432389
"ABCB1",2.23381906300419,0.348519160698141,5.17263513711447,0.388265235823167,1.85089909069684,0.452971559417226,0,3.8947236201898
"ABCB10",1.90741977172069,3.29090244088132,3.16794243279298,2.68483257101022,2.63563794758514,3.00149236839252,2.57824586107592,2.8233715605318
"ABCB4",2.47257931774237,0.100182021813832,1.86000006259147,1.07491656813791,0,1.72845966424838,0,0.0922978493283111
"ABCB5",0,0,0,2.0223507079574,0,0.521977087630896,0,0.0314266314818114
"ABCB6",0.39776620319845,1.44668429873549,1.46120610109464,1.3616719431951,0,0.878380836475927,0.995973769789018,0.653132484525224
"ABCB7",4.38505568393652,4.54796597420334,4.3562882283961,4.38139411082598,5.32584466578601,4.20976005027509,4.85019607815451,4.93016099414346
"ABCB8",3.77596258282844,3.43215290082779,3.77223751076948,4.43901475351771,4.75875578510055,3.92450105237074,5.3496854899486,4.38902814820751
"ABCB9",2.70105028873776,3.3892316949014,3.00243935108754,1.95691443220632,1.85089909069684,1.32708932666786,0,1.64899919966818
"ABCC1",3.33638399781609,3.61260469212863,3.9094924235457,3.56177256731871,5.92995029834018,3.90525721567345,3.45210282195516,4.45570055675994
"ABCC10",2.91857188749095,3.36728254476073,3.69838084241577,3.2231296798248,4.61266169314222,3.18821894819395,2.99294670612866,4.12338581920974
"ABCC11",0.145119366783002,2.06789544521856,0.369863714587265,0.443912609399252,0,0.41719025688753,0,0.312949685308513
"ABCC3",0,1.96004068826055,3.55030076497875,3.149726985748,0,5.06867073190098,0,0.0922978493283111
"ABCC4",3.21009693268143,2.26206599302544,4.10182667751278,3.30805089472701,6.85448150975653,3.44964085774281,2.57824586107592,3.00847362684694
"ABCC5",2.13300731813413,5.21103703045956,3.96454073757679,4.21544015434559,5.12491698611387,4.74523614600687,1.99395643322287,3.45339450848788
