"B_cell","Cancer_cell","Endothelial_cell","Fibroblast","Mast_cell","Myeloid_cell","pDC","T_cell"
"AC004921.1",-0.2,-0.235,-0.212,-0.221,-0.215,1.517,-0.237,-0.196
"AC004943.2",-0.128,0.601,-0.162,0.818,-0.864,0.187,-0.584,0.132
"AC004951.1",-0.84,0.559,0.87,0.323,-1.115,0.439,-0.525,0.29
"AC004982.2",-0.075,1.947,0.131,-0.072,-0.618,-0.531,-1.091,0.31
"AC005013.1",-0.265,0.486,0.47,0.28,-0.265,-0.258,-0.265,-0.182
"AC005034.3",-0.764,0.466,1.339,0.747,-1.02,-0.172,-0.5,-0.096
"AC005037.1",0.798,-0.144,-0.222,-0.479,-0.243,-0.096,-0.088,0.473
"AC005041.1",-0.49,0.253,0.41,1.101,-0.806,0.133,-0.145,-0.455
"AC005064.1",-0.247,0.242,-0.057,0.857,-0.26,-0.26,-0.26,-0.015
"AC005070.3",0.058,0.085,0.142,0.149,-0.186,-0.139,-0.283,0.174
"AC005076.1",-0.109,0.745,0.316,0.117,-0.606,0.353,-0.624,-0.192
"AC005082.1",-0.646,-0.083,-0.608,0.399,-0.392,0.757,1.023,-0.45
"AC005224.1",0.003,-0.053,-0.126,0.04,-0.173,0.072,0.184,0.052
"AC005224.3",-0.606,-0.728,-0.653,-0.108,-0.909,0.443,1.574,0.988
"AC005229.4",-0.663,0.491,1.098,0.991,-0.897,0.214,-1.097,-0.137
"AC005261.1",-0.623,0.648,1.581,1.193,-1.954,0.133,-1.11,0.131
"AC005261.3",-0.634,0.152,1.074,0.769,-0.644,0.015,-0.609,-0.124
"AC005288.1",-0.171,0.827,-0.08,0.196,-0.611,0.219,-0.647,0.268
"AC005291.1",-0.164,-0.168,-0.124,1.065,-0.118,-0.159,-0.168,-0.164
"AC005291.2",-0.379,-0.411,-0.263,2.972,-0.402,-0.47,-0.557,-0.491
"AC005332.1",0.325,-0.275,-0.906,-0.898,-0.719,1.328,1.15,-0.005
"AC005332.3",-0.014,0.054,-0.01,0.036,-0.193,-0.177,-0.193,0.497
"AC005332.4",-0.175,0.07,0.541,0.049,-0.312,0.075,-0.312,0.064
"AC005332.5",0.617,-0.597,-0.198,-0.607,-1.001,0.062,0.438,1.286
"AC005332.6",-0.718,0.102,1.615,0.323,-1.193,-0.023,-0.787,0.682
"AC005332.7",-0.673,0.499,1.9,0.629,-1.333,0.17,-1.412,0.221
"AC005363.2",0.053,0.294,-0.036,0.228,-0.03,-0.106,-0.453,0.049
"AC005392.2",-0.229,-0.247,-0.014,-0.083,-0.255,0.117,-0.255,0.965
"AC005498.2",-0.321,0.581,0.402,0.04,-0.485,-0.049,-0.312,0.145
"AC005498.3",0.238,0.283,0.297,0.435,-0.459,-0.246,-0.79,0.243
"AC005520.2",-0.488,0.286,0.584,0.828,-0.63,-0.279,-0.693,0.391
"AC005618.1",-0.075,0.414,0,0.11,-0.079,-0.237,-0.211,0.078
"AC005726.1",-0.218,0.31,0.153,0.005,-0.724,0.426,0.166,-0.118
"AC005775.1",-0.091,0.093,-0.009,0.05,0.024,0.013,-0.117,0.036
"AC005837.1",0.015,0.424,-0.023,-0.172,-0.266,-0.204,-0.308,0.534
"AC005838.2",-0.046,0.245,0.287,0.16,-0.24,-0.115,-0.351,0.061
"AC005840.4",-0.082,0.076,0.146,-0.054,-0.172,0.01,-0.098,0.174
"AC005842.1",-0.236,-0.155,-0.229,-0.22,-0.294,-0.11,-0.205,1.449
"AC005899.6",-0.145,0.004,0.333,0.154,-0.092,0.019,-0.285,0.012
"AC005920.1",-0.334,1.227,-0.296,-0.309,-0.247,-0.223,-0.462,0.645
"AC006033.2",-0.139,-0.183,-0.104,-0.157,-0.185,0.561,-0.163,0.37
"AC006059.1",-0.736,0.225,0.389,1.051,-0.274,0.779,-0.759,-0.675
"AC006064.2",-0.017,0.087,-0.055,0.004,-0.134,0.038,-0.071,0.148
"AC006064.4",-0.397,0.847,0.103,0.192,-0.899,0.467,-0.624,0.309
"AC006213.1",-0.275,0.622,0.277,0.106,-0.451,0.033,-0.345,0.033
"AC006213.2",0.14,0.142,0.561,0.69,-1.088,-0.276,-0.606,0.436
"AC006252.1",0.125,0.183,-0.318,-0.108,-0.355,-0.14,-0.036,0.649
"AC006254.1",-0.28,0.016,-0.078,0.11,-0.34,0.478,-0.152,0.246
"AC006299.1",-0.209,0.478,0.608,-0.444,-0.068,-0.374,-0.614,0.622
"AC006333.2",-0.917,1.928,0.69,0.958,-1.576,0.487,-1.07,-0.5
"AC006369.1",0.147,-0.538,-0.531,-0.73,-0.844,-0.432,-0.699,3.627
"AC006449.2",-0.25,0.685,0.159,0.389,-0.331,0.016,-0.399,-0.27
"AC006449.6",0.028,0.39,-0.401,-0.295,-1.045,0.581,-0.285,1.028
"AC006480.2",-0.336,0.467,0.329,0.329,-0.318,0.009,-0.338,-0.143
"AC006504.1",-0.125,0.315,0.216,0.111,-0.187,-0.044,-0.198,-0.087
"AC006504.5",-0.289,1.007,0.435,0.49,-1.276,-0.463,-0.63,0.726
"AC006942.1",-0.268,0.469,0.189,0.755,-0.704,-0.107,-0.347,0.013
"AC007032.1",-0.8,0.822,-0.011,-0.304,-0.304,2.192,-1.157,-0.437
"AC007038.1",-0.134,0.105,0.021,0.241,-0.358,0.14,-0.123,0.108
"AC007038.2",-0.258,0.333,0.316,0.307,-0.524,0.092,-0.339,0.072
"AC007114.1",0.011,1.603,-0.175,0.334,-1.507,0.138,-0.556,0.152
